generation,region,number,party,candidate,sex,result
5 ,울산광역시,7,진보신당,노옥희,여,낙
5 ,경기도,1,한나라당,김문수,남,당
5 ,경기도,8,국민참여당,유시민,남,낙
5 ,강원도,1,한나라당,이계진,남,낙
5 ,강원도,2,민주당,이광재,남,당
5 ,충청북도,1,한나라당,정우택,남,낙
5 ,충청북도,2,민주당,이시종,남,당
5 ,충청북도,7,진보신당,김백규,남,낙
5 ,충청남도,1,한나라당,박해춘,남,낙
5 ,충청남도,2,민주당,안희정,남,당
5 ,충청남도,3,자유선진당,박상돈,남,낙
5 ,전라북도,1,한나라당,정운천,남,낙
5 ,전라북도,2,민주당,김완주,남,당
5 ,전라북도,5,민주노동당,하연호,남,낙
5 ,전라북도,7,진보신당,염경석,남,낙
5 ,전라북도,8,평화민주당,김대식,남,낙
5 ,전라남도,1,한나라당,김대식,남,낙
5 ,전라남도,2,민주당,박준영,남,당
5 ,전라남도,5,민주노동당,박웅두,남,낙
5 ,전라남도,7,평화민주당,김경재,남,낙
5 ,경상북도,1,한나라당,김관용,남,당
5 ,경상북도,2,민주당,홍의락,남,낙
5 ,경상북도,5,민주노동당,윤병태,남,낙
5 ,경상북도,7,국민참여당,유성찬,남,낙
5 ,경상남도,1,한나라당,이달곤,남,낙
5 ,경상남도,7,무소속,김두관,남,당
5 ,제주특별자치도,2,민주당,고희범,남,낙
5 ,제주특별자치도,8,무소속,현명관,남,낙
5 ,제주특별자치도,9,무소속,우근민,남,당
6 ,서울특별시,1,새누리당,정몽준,남,낙
6 ,서울특별시,2,새정치민주연합,박원순,남,당
6 ,서울특별시,3,통합진보당,정태흥,남,낙
6 ,서울특별시,4,새정치당,홍정식,남,낙
6 ,부산광역시,1,새누리당,서병수,남,당
6 ,부산광역시,4,무소속,오거돈,남,낙
6 ,대구광역시,1,새누리당,권영진,남,당
6 ,대구광역시,2,새정치민주연합,김부겸,남,낙
6 ,대구광역시,3,통합진보당,송영우,남,낙
6 ,대구광역시,4,정의당,이원준,남,낙
6 ,대구광역시,5,무소속,이정숙,여,낙
6 ,인천광역시,1,새누리당,유정복,남,당
6 ,인천광역시,2,새정치민주연합,송영길,남,낙
6 ,인천광역시,3,통합진보당,신창현,남,낙
6 ,광주광역시,1,새누리당,이정재,남,낙
6 ,광주광역시,2,새정치민주연합,윤장현,남,당
6 ,광주광역시,3,통합진보당,윤민호,남,낙
6 ,광주광역시,4,노동당,이병훈,남,낙
6 ,광주광역시,5,무소속,강운태,남,낙
6 ,광주광역시,7,무소속,이병완,남,낙
6 ,대전광역시,1,새누리당,박성효,남,낙
6 ,대전광역시,2,새정치민주연합,권선택,남,당
6 ,대전광역시,3,통합진보당,김창근,남,낙
6 ,대전광역시,4,정의당,한창민,남,낙
6 ,울산광역시,1,새누리당,김기현,남,당
6 ,울산광역시,4,정의당,조승수,남,낙
6 ,울산광역시,5,노동당,이갑용,남,낙
6 ,세종특별자치시,1,새누리당,유한식,남,낙
6 ,세종특별자치시,2,새정치민주연합,이춘희,남,당
6 ,경기도,1,새누리당,남경필,남,당
6 ,경기도,2,새정치민주연합,김진표,남,낙
6 ,강원도,1,새누리당,최흥집,남,낙
6 ,강원도,2,새정치민주연합,최문순,남,당
6 ,강원도,3,통합진보당,이승재,남,낙
6 ,충청북도,1,새누리당,윤진식,남,낙
6 ,충청북도,2,새정치민주연합,이시종,남,당
6 ,충청북도,3,통합진보당,신장호,남,낙
